FIPS,AlGore_Dem_2000,pct_dem_2000,GeorgeWBush_Rep_2000,pct_rep_2000,RalphNader_Green_2000,pct_green_2000,Other_2000,pct_other_2000,totalvotes_2000,JohnKerry_Dem_2004,pct_dem_2004,GeorgeWBush_Rep_2004,pct_rep_2004,Other_2004,pct_other_2004,totalvotes_2004,Obama_Dem_2008,pct_dem_2008,McCain_Rep_2008,pct_rep_2008,Other_2008,pct_other_2008,totalvotes_2008,Obama_Dem_2012,pct_dem_2012,Romney_Rep_2012,pct_rep_2012,Other_2012,pct_other_2012,totalvotes_2012,Clinton_Dem_2016,pct_dem_2016,Trump_Rep_2016,pct_rep_2016,Other_2016,pct_other_2016,totalvotes2016,dem_2020,pct_dem_2020,gop_2020,pct_gop_2020,total_votes_2020
6031,11041,0.389659432,16377,0.577977766,567,0.020010588,350,0.012352215,28335,10833,0.337550245,21003,0.654441779,257,0.008007977,32093,14747,0.420046713,19710,0.561410505,651,0.018542782,35108,12979,0.413107136,17671,0.562448278,768,0.024444586,31418,13617,0.401503759,18093,0.533480761,2205,0.06501548,33915,17729,0.42279351,23169,0.55252427,41933
12039,9735,0.66103076,4767,0.323691179,139,0.009438446,86,0.005839614,14727,14629,0.69715021,6253,0.297988944,102,0.004860846,20984,15582,0.692225677,6811,0.302576633,117,0.00519769,22510,15770,0.700920041,6630,0.294679764,99,0.004400196,22499,15020,0.679238457,6728,0.304255415,365,0.016506128,22113,16152,0.67865545,7465,0.31365547,23800
55053,4380,0.520375431,3670,0.436022336,290,0.034454081,77,0.009148153,8417,5249,0.539687436,4387,0.451059017,90,0.009253547,9726,5572,0.602313263,3552,0.383958491,127,0.013728246,9251,5298,0.568882208,3900,0.418769462,115,0.01234833,9313,3821,0.412100949,4907,0.529227783,544,0.058671268,9272,4255,0.4176892,5789,0.56827331,10187
34011,28188,0.578999261,18882,0.387848164,1004,0.020622792,610,0.012529784,48684,27875,0.524113942,24362,0.458061484,948,0.017824575,53185,34919,0.607455988,22360,0.388977803,205,0.00356621,57484,34055,0.615911886,20658,0.373616436,579,0.010471678,55292,27771,0.514239686,24453,0.452799793,1780,0.032960521,54004,30148,0.51758003,27294,0.4685826,58248
8015,2768,0.363731932,4300,0.565045992,459,0.060315375,83,0.010906702,7610,3766,0.429467442,4875,0.555935683,128,0.014596875,8769,4861,0.490020161,4873,0.491229839,186,0.01875,9920,5086,0.486140317,5070,0.484610973,306,0.02924871,10462,4888,0.434488889,5391,0.4792,971,0.086311111,11250,7112,0.52217329,6180,0.4537445,13620
31163,564,0.330791789,1072,0.628739003,48,0.028152493,21,0.012316716,1705,541,0.329275715,1072,0.652465003,30,0.018259282,1643,585,0.372137405,950,0.6043257,37,0.023536896,1572,552,0.360784314,927,0.605882353,51,0.033333333,1530,340,0.216147489,1150,0.731087095,83,0.052765416,1573,343,0.20200236,1322,0.77856302,1698
29029,6323,0.369787707,10358,0.605766419,258,0.015088602,160,0.009357272,17099,6296,0.322557508,13122,0.672268047,101,0.005174445,19519,7773,0.351195048,14074,0.635883071,286,0.012921881,22133,6458,0.294281157,15092,0.687719298,395,0.017999544,21945,4768,0.211779337,16944,0.752598383,802,0.035622279,22514,5640,0.22765803,18825,0.75986922,24774
9001,193769,0.523291267,159659,0.431174029,12664,0.034200314,4197,0.01133439,370289,205902,0.513513581,189605,0.472869338,5460,0.013617081,400967,241320,0.587016171,166845,0.405854107,2931,0.007129722,411096,217294,0.548542145,175168,0.442198268,3668,0.009259586,396130,243852,0.578933499,160077,0.380041737,17280,0.041024764,421209,12879.957,0.62928355,7300.2173,0.35667098,20467.652
55075,8676,0.435520305,10535,0.528838914,504,0.025299935,206,0.010340846,19921,10190,0.457566233,11866,0.532824427,214,0.00960934,22270,11195,0.5266996,9726,0.45758645,334,0.01571395,21255,9882,0.475622082,10619,0.511093998,276,0.01328392,20777,6243,0.311433702,12995,0.648259004,808,0.040307293,20046,7363,0.32045087,15303,0.66601384,22977
48217,3524,0.328272007,7054,0.657102934,100,0.009315324,57,0.005309735,10735,3751,0.287366889,9225,0.706734084,77,0.005899027,13053,3811,0.288974826,9264,0.702456779,113,0.008568396,13188,2752,0.228476546,9132,0.758156912,161,0.013366542,12045,2547,0.196376253,10108,0.779336931,315,0.024286816,12970,2829,0.1905949,11869,0.79963619,14843
